Record ID,Date-time 1,Date-time 2,Season,Station ID,Class,SpeciesID,Temperature,Number of individuals,Water use,Behavior
1,19/08/2019 01:42,19/08/2019 01:47,Rainy,1,Aves,Ciccaba virgata,25,1,Yes,Bathing
2,22/08/2019 04:31,22/08/2019 04:41,Rainy,1,Aves,Ciccaba virgata,25,1,Yes,Bathing
3,30/08/2019 06:12,NA,Rainy,1,Aves,Ciccaba virgata,22,1,No,Foraging
4,25/08/2019 16:38,NA,Rainy,1,Aves,Colaptes rubiginosus,40,1,No,Passing
5,29/04/2019 07:19,NA,Dry,1,Aves,Crax rubra,23,1,No,Foraging
6,16/03/2019 09:39,NA,Dry,1,Aves,Dendrocincla anabatina,25,1,No,Passing
7,23/08/2019 08:55,23/08/2019 08:55,Rainy,1,Aves,Dendrocincla anabatina,27,1,No,Foraging
8,05/10/2019 11:54,05/10/2019 12:18,Rainy,1,Aves,Dendrocincla anabatina,27,1,Yes,Drinking
9,17/10/2019 17:28,17/10/2019 17:34,Rainy,1,Aves,Dendrocincla anabatina,30,1,Yes,Bathing
10,26/10/2019 10:15,26/10/2019 10:15,Rainy,1,Aves,Dendrocincla anabatina,26,1,Yes,Bathing
11,06/01/2020 14:41,NA,Dry,1,Aves,Dendrocincla anabatina,25,1,No,Foraging
12,25/08/2019 09:04,26/08/2019 07:15,Rainy,1,Aves,Dendrocincla homochroa,26,1,Yes,Bathing
13,27/08/2019 18:47,NA,Rainy,1,Aves,Dendrocincla homochroa,36,1,No,Foraging
14,30/08/2019 09:17,NA,Rainy,1,Aves,Dendrocincla homochroa,26,1,No,Passing
15,04/09/2019 15:39,NA,Rainy,1,Aves,Dendrocincla homochroa,36,1,No,Foraging
16,05/10/2019 12:17,NA,Rainy,1,Aves,Dendrocincla homochroa,28,1,No,Passing
17,17/10/2019 17:28,NA,Rainy,1,Aves,Dendrocincla homochroa,31,1,No,Foraging
18,18/10/2019 16:47,NA,Rainy,1,Aves,Dendrocincla homochroa,31,1,No,Passing
19,26/10/2019 18:25,NA,Rainy,1,Aves,Dendrocincla homochroa,26,1,Yes,Bathing
20,31/10/2019 17:28,NA,Rainy,1,Aves,Dendrocincla homochroa,27,1,No,Foraging
21,25/11/2019 17:07,NA,Dry,1,Aves,Dendrocincla homochroa,26,1,No,Foraging
22,06/12/2019 17:25,NA,Dry,1,Aves,Dendrocincla homochroa,25,1,Yes,Bathing
23,26/12/2019 10:06,NA,Dry,1,Aves,Dendrocincla homochroa,20,1,No,Foraging
24,28/12/2019 13:28,NA,Dry,1,Aves,Dendrocincla homochroa,26,1,No,Foraging
25,12/02/2020 16:07,NA,Dry,1,Aves,Dendrocincla homochroa,30,1,Yes,Bathing
26,18/10/2019 15:12,NA,Rainy,1,Aves,Dendrocolaptes sanctithomae,31,1,Yes,Drinking
27,26/10/2019 20:28,NA,Rainy,1,Mammalia,Didelphis virginiana,23,1,No,Foraging
28,07/11/2019 22:53,NA,Dry,1,Mammalia,Didelphis virginiana,22,1,No,Foraging
29,20/03/2019 15:38,NA,Dry,1,Aves,Dumetella carolinensis,40,1,No,Foraging
30,03/03/2019 11:33,NA,Dry,1,Mammalia,Eira barbara,31,1,No,Foraging
31,03/03/2019 12:34,NA,Dry,1,Aves,Hylocichla mustelina,33,1,No,Passing
32,25/12/2019 14:43,NA,Dry,1,Aves,Hylocichla mustelina,25,1,Yes,Drinking
33,11/02/2020 10:00,11/02/2020 15:41,Dry,1,Aves,Hylocichla mustelina,25,1,Yes,Drinking
