State group,Label,value
North East,1,9.2
North East,2,8.9
North East,3,7.7
North East,4,10.6
North East,5,7.3
North East,6,7.4
North East,7,9.7
North East,8,8.2
North East,9,10.3
Midwest,1,13.1
Midwest,2,11.5
Midwest,3,10.6
Midwest,4,11
Midwest,5,14.5
Midwest,6,13.3
Midwest,7,9.6
Midwest,8,12.2
Midwest,9,8.5
Midwest,10,14.4
Midwest,11,10.6
Midwest,12,12.7
South,1,13.4
South,2,19.8
South,3,17
South,4,18.9
South,5,10.3
South,6,21.3
South,7,18.3
South,8,13.7
South,9,15.9
South,10,17.2
South,11,11
South,12,15
South,13,16.8
South,14,16.8
South,15,16.8
South,16,16.2
West,1,17.9
West,2,13.2
West,3,13.5
West,4,10.3
West,5,13.3
West,6,11.9
West,7,10.6
West,8,12
West,9,14.4
West,10,11.3
West,11,15
West,12,11.2
West,13,12.5
