masterid,year,northings,eastings,month1,year1,month2,year2,Deaths,Healthyfrogs,redspots.haemorrhaging,ulcers,limbbreakdown,Toads in pond,Newts in pond,Fish in pond,Other dead animals,No of other dead,Blobs of spawn,Sq feet of spawn,Urban(1)/Rural(0),Pond 1 length (m),Pond 1 width (m),Pond 1 depth (m),Pond 2 length (m),Pond 2 width (m),Pond 2 depth (m),Fishcare,slugpellets,Herbicide,Notes.1,Notes.2,Notes.3,Follow up report_Comments
1,1992,51.418,0.014,10,1992,12,1992,3,5,F,F,F,No,No,Yes,NA,NA,2,NA,1,2,1.75,0.5,NA,NA,NA,No,Yes,No,Fish appeared to be eaten '91., ,,
2,1992,51.171,-0.123,6,1992,7,1992,4,5,F,F,F,No,Yes,Yes,NA,NA,2,NA,0,4,3,0.75,NA,NA,NA,No,No,No,, Original frog colony all died in 1992,,"Spawn and tadpoles, but only 2-3 froglets."
3,1992,51.085,0.314,3,1992,NA,1992,5,50,F,F,F,Yes,Yes,Yes,NA,NA,2,NA,0,7.6,6,0.9,3.6,1.8,0.4,No,No,No,Toads seem fine. Usually has ~50 clumps spawn. Tadpoles have kinks in tail. Has 5 other ponds., ,,
4,1992,51.177,-0.174,4,1992,8,1992,8,5,F,T,F,No,Yes,Yes,Fish,2,8,NA,1,5,1,0.3,NA,NA,NA,No,No,No,Fish died from suspected stagnant water (did not specify when). 40 died in 1991 summer. Said deaths began after buying potted pond plant from garden centre. Newt showed same symptoms 28/06/92. Had survey done - sheet in folder, ,,
5,1992,53.387,-2.642,8,1992,NA,1992,1,5,F,T,F,No,No,No,NA,NA,NA,NA,1,0.6,0.3,0.3,NA,NA,NA,No,No,No,, ,,Frog population seems healthy
6,1992,51.381,-2.365,3,1992,NA,1992,30,70,F,F,F,No,Yes,No,NA,NA,3,NA,1,3,1.8,0.2,1.2,1.2,0.6,No,Yes,Yes,"Live on edge of conservation area. Lots of crows, magpies and foxes.",Pinpricks of blood ,,"Very few frogs and spawn, spawn did not develop. However, seen several healthy frogs."
7,1992,51.536,-0.904,4,1991,NA,1991,NA,30,F,F,F,No,Yes,Yes,NA,NA,40,NA,0,3,1.2,0.7,NA,NA,NA,No,Yes,Yes,, ,,
8,1992,51.364,0.515,2,1992,4,1992,2,5,F,F,F,Yes,Yes,No,NA,NA,0,NA,1,1.8,0.9,0.75,NA,NA,NA,No,No,No,, ,,"Only had 4 healthy frogs in '92, now up to 9. Also 2-3 toads and several newts. No longer stock fish."
9,1992,51.449,-1.021,3,1992,6,1992,50,100,F,F,F,Yes,Yes,Yes,NA,NA,NA,3,1,2.4,1.8,0.9,2.4,1.2,0.6,No,Yes,Yes,, ,,A lot of the dead frogs had some sort of ulcer on their heads
10,1992,53.009,-2.731,2,1992,7,1992,31,5,F,F,F,Yes,Yes,Yes,NA,NA,NA,NA,0,3.6,1.5,0.6,1.8,1.2,0.45,No,Yes,No,Have GCN's in pond. Several late frosts in February. One other fish type - stickleback?, ,,
