,Date,Day,High Temp (°F),Low Temp (°F),Precipitation,Bicycle-count,Bridge
1,4/1/2016 0:00,4/1/2016 0:00,78.1,66,0.01,1704,Brooklyn 
2,4/2/2016 0:00,4/2/2016 0:00,55,48.9,0.15,827,Brooklyn 
3,4/3/2016 0:00,4/3/2016 0:00,39.9,34,0.09,526,Brooklyn 
4,4/5/2016 0:00,4/5/2016 0:00,42.1,26.1,0,1416,Brooklyn 
5,4/6/2016 0:00,4/6/2016 0:00,45,30,0,1885,Brooklyn 
6,4/7/2016 0:00,4/7/2016 0:00,57,53.1,0.09,1276,Brooklyn 
7,4/8/2016 0:00,4/8/2016 0:00,46.9,44.1,0.01,1982,Brooklyn 
8,4/9/2016 0:00,4/9/2016 0:00,43,37.9,0.09,504,Brooklyn 
9,4/10/2016 0:00,4/10/2016 0:00,48.9,30.9,0,1447,Brooklyn 
10,4/11/2016 0:00,4/11/2016 0:00,62.1,46,0.01,2005,Brooklyn 
11,4/12/2016 0:00,4/12/2016 0:00,57,45,0.2,1045,Brooklyn 
12,4/13/2016 0:00,4/13/2016 0:00,57,39.9,0,2840,Brooklyn 
13,4/14/2016 0:00,4/14/2016 0:00,62.1,44.6,0,2861,Brooklyn 
14,4/15/2016 0:00,4/15/2016 0:00,64,44.1,0,2770,Brooklyn 
15,4/16/2016 0:00,4/16/2016 0:00,66,45,0,2384,Brooklyn 
16,4/17/2016 0:00,4/17/2016 0:00,73.9,46,0,3147,Brooklyn 
17,4/18/2016 0:00,4/18/2016 0:00,81,52,0,3871,Brooklyn 
18,4/19/2016 0:00,4/19/2016 0:00,71.1,63,0,3501,Brooklyn 
19,4/20/2016 0:00,4/20/2016 0:00,68,50,0,3450,Brooklyn 
20,4/21/2016 0:00,4/21/2016 0:00,71.1,50,0,3436,Brooklyn 
21,4/23/2016 0:00,4/23/2016 0:00,70,61,0.16,2055,Brooklyn 
22,4/24/2016 0:00,4/24/2016 0:00,68,48,0,2798,Brooklyn 
23,4/25/2016 0:00,4/25/2016 0:00,66.9,54,0,3463,Brooklyn 
24,4/26/2016 0:00,4/26/2016 0:00,60.1,46.9,0.24,1997,Brooklyn 
25,4/27/2016 0:00,4/27/2016 0:00,62.1,46.9,0,3343,Brooklyn 
26,4/28/2016 0:00,4/28/2016 0:00,57.9,48,0,2486,Brooklyn 
27,4/29/2016 0:00,4/29/2016 0:00,57,46.9,0.05,2375,Brooklyn 
28,4/30/2016 0:00,4/30/2016 0:00,64,48,0,3199,Brooklyn 
29,4/1/2016 0:00,4/1/2016 0:00,78.1,66,0.01,1704,Brooklyn 
30,4/2/2016 0:00,4/2/2016 0:00,55,48.9,0.15,827,Brooklyn 
31,4/3/2016 0:00,4/3/2016 0:00,39.9,34,0.09,526,Brooklyn 
32,4/5/2016 0:00,4/5/2016 0:00,42.1,26.1,0,1416,Brooklyn 
33,4/6/2016 0:00,4/6/2016 0:00,45,30,0,1885,Brooklyn 
34,4/7/2016 0:00,4/7/2016 0:00,57,53.1,0.09,1276,Brooklyn 
35,4/8/2016 0:00,4/8/2016 0:00,46.9,44.1,0.01,1982,Brooklyn 
36,4/9/2016 0:00,4/9/2016 0:00,43,37.9,0.09,504,Brooklyn 
37,4/10/2016 0:00,4/10/2016 0:00,48.9,30.9,0,1447,Brooklyn 
38,4/11/2016 0:00,4/11/2016 0:00,62.1,46,0.01,2005,Brooklyn 
39,4/12/2016 0:00,4/12/2016 0:00,57,45,0.2,1045,Brooklyn 
40,4/13/2016 0:00,4/13/2016 0:00,57,39.9,0,2840,Brooklyn 
41,4/14/2016 0:00,4/14/2016 0:00,62.1,44.6,0,2861,Brooklyn 
42,4/15/2016 0:00,4/15/2016 0:00,64,44.1,0,2770,Brooklyn 
43,4/16/2016 0:00,4/16/2016 0:00,66,45,0,2384,Brooklyn 
44,4/17/2016 0:00,4/17/2016 0:00,73.9,46,0,3147,Brooklyn 
45,4/18/2016 0:00,4/18/2016 0:00,81,52,0,3871,Brooklyn 
46,4/19/2016 0:00,4/19/2016 0:00,71.1,63,0,3501,Brooklyn 
47,4/20/2016 0:00,4/20/2016 0:00,68,50,0,3450,Brooklyn 
48,4/21/2016 0:00,4/21/2016 0:00,71.1,50,0,3436,Brooklyn 
49,4/23/2016 0:00,4/23/2016 0:00,70,61,0.16,2055,Brooklyn 
50,4/24/2016 0:00,4/24/2016 0:00,68,48,0,2798,Brooklyn 
51,4/25/2016 0:00,4/25/2016 0:00,66.9,54,0,3463,Brooklyn 
52,4/26/2016 0:00,4/26/2016 0:00,60.1,46.9,0.24,1997,Brooklyn 
53,4/27/2016 0:00,4/27/2016 0:00,62.1,46.9,0,3343,Brooklyn 
54,4/28/2016 0:00,4/28/2016 0:00,57.9,48,0,2486,Brooklyn 
55,4/29/2016 0:00,4/29/2016 0:00,57,46.9,0.05,2375,Brooklyn 
56,4/30/2016 0:00,4/30/2016 0:00,64,48,0,3199,Brooklyn 
57,4/1/2016 0:00,4/1/2016 0:00,78.1,66,0.01,1704,Brooklyn 
58,4/2/2016 0:00,4/2/2016 0:00,55,48.9,0.15,827,Brooklyn 
59,4/3/2016 0:00,4/3/2016 0:00,39.9,34,0.09,526,Brooklyn 
60,4/5/2016 0:00,4/5/2016 0:00,42.1,26.1,0,1416,Brooklyn 
61,4/6/2016 0:00,4/6/2016 0:00,45,30,0,1885,Brooklyn 
62,4/7/2016 0:00,4/7/2016 0:00,57,53.1,0.09,1276,Brooklyn 
63,4/8/2016 0:00,4/8/2016 0:00,46.9,44.1,0.01,1982,Brooklyn 
64,4/9/2016 0:00,4/9/2016 0:00,43,37.9,0.09,504,Brooklyn 
65,4/10/2016 0:00,4/10/2016 0:00,48.9,30.9,0,1447,Brooklyn 
66,4/11/2016 0:00,4/11/2016 0:00,62.1,46,0.01,2005,Brooklyn 
67,4/12/2016 0:00,4/12/2016 0:00,57,45,0.2,1045,Brooklyn 
68,4/13/2016 0:00,4/13/2016 0:00,57,39.9,0,2840,Brooklyn 
69,4/14/2016 0:00,4/14/2016 0:00,62.1,44.6,0,2861,Brooklyn 
70,4/15/2016 0:00,4/15/2016 0:00,64,44.1,0,2770,Brooklyn 
71,4/16/2016 0:00,4/16/2016 0:00,66,45,0,2384,Brooklyn 
72,4/17/2016 0:00,4/17/2016 0:00,73.9,46,0,3147,Brooklyn 
73,4/18/2016 0:00,4/18/2016 0:00,81,52,0,3871,Brooklyn 
74,4/19/2016 0:00,4/19/2016 0:00,71.1,63,0,3501,Brooklyn 
75,4/20/2016 0:00,4/20/2016 0:00,68,50,0,3450,Brooklyn 
76,4/21/2016 0:00,4/21/2016 0:00,71.1,50,0,3436,Brooklyn 
77,4/23/2016 0:00,4/23/2016 0:00,70,61,0.16,2055,Brooklyn 
78,4/24/2016 0:00,4/24/2016 0:00,68,48,0,2798,Brooklyn 
79,4/25/2016 0:00,4/25/2016 0:00,66.9,54,0,3463,Brooklyn 
80,4/26/2016 0:00,4/26/2016 0:00,60.1,46.9,0.24,1997,Brooklyn 
81,4/27/2016 0:00,4/27/2016 0:00,62.1,46.9,0,3343,Brooklyn 
82,4/28/2016 0:00,4/28/2016 0:00,57.9,48,0,2486,Brooklyn 
83,4/29/2016 0:00,4/29/2016 0:00,57,46.9,0.05,2375,Brooklyn 
84,4/30/2016 0:00,4/30/2016 0:00,64,48,0,3199,Brooklyn 
85,4/1/2016 0:00,4/1/2016 0:00,78.1,66,0.01,1704,Brooklyn 
86,4/2/2016 0:00,4/2/2016 0:00,55,48.9,0.15,827,Brooklyn 
87,4/3/2016 0:00,4/3/2016 0:00,39.9,34,0.09,526,Brooklyn 
88,4/5/2016 0:00,4/5/2016 0:00,42.1,26.1,0,1416,Brooklyn 
89,4/6/2016 0:00,4/6/2016 0:00,45,30,0,1885,Brooklyn 
90,4/7/2016 0:00,4/7/2016 0:00,57,53.1,0.09,1276,Brooklyn 
91,4/8/2016 0:00,4/8/2016 0:00,46.9,44.1,0.01,1982,Brooklyn 
92,4/9/2016 0:00,4/9/2016 0:00,43,37.9,0.09,504,Brooklyn 
93,4/10/2016 0:00,4/10/2016 0:00,48.9,30.9,0,1447,Brooklyn 
94,4/11/2016 0:00,4/11/2016 0:00,62.1,46,0.01,2005,Brooklyn 
95,4/12/2016 0:00,4/12/2016 0:00,57,45,0.2,1045,Brooklyn 
96,4/13/2016 0:00,4/13/2016 0:00,57,39.9,0,2840,Brooklyn 
97,4/14/2016 0:00,4/14/2016 0:00,62.1,44.6,0,2861,Brooklyn 
98,4/15/2016 0:00,4/15/2016 0:00,64,44.1,0,2770,Brooklyn 
99,4/16/2016 0:00,4/16/2016 0:00,66,45,0,2384,Brooklyn 
100,4/17/2016 0:00,4/17/2016 0:00,73.9,46,0,3147,Brooklyn 
101,4/18/2016 0:00,4/18/2016 0:00,81,52,0,3871,Brooklyn 
102,4/19/2016 0:00,4/19/2016 0:00,71.1,63,0,3501,Brooklyn 
103,4/20/2016 0:00,4/20/2016 0:00,68,50,0,3450,Brooklyn 
104,4/21/2016 0:00,4/21/2016 0:00,71.1,50,0,3436,Brooklyn 
105,4/23/2016 0:00,4/23/2016 0:00,70,61,0.16,2055,Brooklyn 
106,4/24/2016 0:00,4/24/2016 0:00,68,48,0,2798,Brooklyn 
107,4/25/2016 0:00,4/25/2016 0:00,66.9,54,0,3463,Brooklyn 
108,4/26/2016 0:00,4/26/2016 0:00,60.1,46.9,0.24,1997,Brooklyn 
109,4/27/2016 0:00,4/27/2016 0:00,62.1,46.9,0,3343,Brooklyn 
110,4/28/2016 0:00,4/28/2016 0:00,57.9,48,0,2486,Brooklyn 
111,4/29/2016 0:00,4/29/2016 0:00,57,46.9,0.05,2375,Brooklyn 
112,4/30/2016 0:00,4/30/2016 0:00,64,48,0,3199,Brooklyn 
113,4/1/2016 0:00,4/1/2016 0:00,78.1,66,0.01,1704,Brooklyn 
114,4/2/2016 0:00,4/2/2016 0:00,55,48.9,0.15,827,Brooklyn 
115,4/3/2016 0:00,4/3/2016 0:00,39.9,34,0.09,526,Brooklyn 
116,4/5/2016 0:00,4/5/2016 0:00,42.1,26.1,0,1416,Brooklyn 
117,4/6/2016 0:00,4/6/2016 0:00,45,30,0,1885,Brooklyn 
118,4/7/2016 0:00,4/7/2016 0:00,57,53.1,0.09,1276,Brooklyn 
119,4/8/2016 0:00,4/8/2016 0:00,46.9,44.1,0.01,1982,Brooklyn 
120,4/9/2016 0:00,4/9/2016 0:00,43,37.9,0.09,504,Brooklyn 
121,4/10/2016 0:00,4/10/2016 0:00,48.9,30.9,0,1447,Brooklyn 
122,4/11/2016 0:00,4/11/2016 0:00,62.1,46,0.01,2005,Brooklyn 
123,4/12/2016 0:00,4/12/2016 0:00,57,45,0.2,1045,Brooklyn 
124,4/13/2016 0:00,4/13/2016 0:00,57,39.9,0,2840,Brooklyn 
125,4/14/2016 0:00,4/14/2016 0:00,62.1,44.6,0,2861,Brooklyn 
126,4/15/2016 0:00,4/15/2016 0:00,64,44.1,0,2770,Brooklyn 
127,4/16/2016 0:00,4/16/2016 0:00,66,45,0,2384,Brooklyn 
128,4/17/2016 0:00,4/17/2016 0:00,73.9,46,0,3147,Brooklyn 
129,4/18/2016 0:00,4/18/2016 0:00,81,52,0,3871,Brooklyn 
130,4/19/2016 0:00,4/19/2016 0:00,71.1,63,0,3501,Brooklyn 
131,4/20/2016 0:00,4/20/2016 0:00,68,50,0,3450,Brooklyn 
132,4/21/2016 0:00,4/21/2016 0:00,71.1,50,0,3436,Brooklyn 
133,4/23/2016 0:00,4/23/2016 0:00,70,61,0.16,2055,Brooklyn 
134,4/24/2016 0:00,4/24/2016 0:00,68,48,0,2798,Brooklyn 
135,4/25/2016 0:00,4/25/2016 0:00,66.9,54,0,3463,Brooklyn 
136,4/26/2016 0:00,4/26/2016 0:00,60.1,46.9,0.24,1997,Brooklyn 
137,4/27/2016 0:00,4/27/2016 0:00,62.1,46.9,0,3343,Brooklyn 
138,4/28/2016 0:00,4/28/2016 0:00,57.9,48,0,2486,Brooklyn 
139,4/29/2016 0:00,4/29/2016 0:00,57,46.9,0.05,2375,Brooklyn 
140,4/30/2016 0:00,4/30/2016 0:00,64,48,0,3199,Brooklyn 
141,4/1/2016 0:00,4/1/2016 0:00,78.1,66,0.01,1704,Brooklyn 
142,4/2/2016 0:00,4/2/2016 0:00,55,48.9,0.15,827,Brooklyn 
143,4/3/2016 0:00,4/3/2016 0:00,39.9,34,0.09,526,Brooklyn 
144,4/5/2016 0:00,4/5/2016 0:00,42.1,26.1,0,1416,Brooklyn 
145,4/6/2016 0:00,4/6/2016 0:00,45,30,0,1885,Brooklyn 
146,4/7/2016 0:00,4/7/2016 0:00,57,53.1,0.09,1276,Brooklyn 
