,ID,Class,Order,Family,Genus,Scientific_name,Common_name,IUCN_status,Year,Month,Day
1,1,Mammalia,Carnivora,Felidae,Puma,Puma concolor,Puma,LC,2009,July,14
2,2,Mammalia,Carnivora,Felidae,Puma,Puma concolor,Puma,LC,2012,April,18
3,3,Mammalia,Carnivora,Canidae,Chrysocyon,Chrysocyon brachyurus,Maned Wolf,NT,2004,August,9
4,4,Amphibia,Anura,Bufonidae,Rhinella,Rhinella dorbignyi,Sapito Jardín,LC,2005,March,18
5,5,Amphibia,Anura,Bufonidae,Rhinella,Rhinella dorbignyi,Sapito Jardín,LC,2005,September,15
6,6,Amphibia,Anura,Bufonidae,Rhinella,Rhinella dorbignyi,Sapito Jardín,LC,2005,September,15
7,7,Amphibia,Anura,Bufonidae,Rhinella,Rhinella dorbignyi,Sapito Jardín,LC,2005,October,13
8,8,Amphibia,Anura,Bufonidae,Rhinella,Rhinella dorbignyi,Sapito Jardín,LC,2005,October,13
9,9,Amphibia,Anura,Bufonidae,Rhinella,Rhinella dorbignyi,Sapito Jardín,LC,2005,October,13
10,10,Amphibia,Anura,Bufonidae,Rhinella,Rhinella dorbignyi,Sapito Jardín,LC,2005,October,26
11,11,Amphibia,Anura,Bufonidae,Rhinella,Rhinella dorbignyi,Sapito Jardín,LC,2005,October,26
12,12,Amphibia,Anura,Bufonidae,Rhinella,Rhinella dorbignyi,Sapito Jardín,LC,2005,October,26
13,13,Amphibia,Anura,Leptodactylidae,Leptodactylus,Leptodactylus latrans,Sapo-rana Llanero,LC,2003,October,19
14,14,Amphibia,Anura,Leptodactylidae,Leptodactylus,Leptodactylus latrans,Sapo-rana Llanero,LC,2005,September,29
15,15,Amphibia,Anura,Leptodactylidae,Leptodactylus,Leptodactylus latrans,Sapo-rana Llanero,LC,2005,October,20
16,16,Amphibia,Anura,Leptodactylidae,Leptodactylus,Leptodactylus latrans,Sapo-rana Llanero,LC,2005,October,20
17,17,Amphibia,Anura,Leptodactylidae,Leptodactylus,Leptodactylus latrans,Sapo-rana Llanero,LC,2005,October,26
18,18,Amphibia,Anura,Leptodactylidae,Leptodactylus,Leptodactylus latrans,Sapo-rana Llanero,LC,2005,October,26
19,19,Aves,Accipitriformes,Accipitridae,Rupornis,Rupornis magnirostris,Roadside Hawk,LC,2002,March,15
20,20,Aves,Accipitriformes,Accipitridae,Rupornis,Rupornis magnirostris,Roadside Hawk,LC,2002,March,26
21,21,Aves,Accipitriformes,Accipitridae,Rupornis,Rupornis magnirostris,Roadside Hawk,LC,2002,March,26
22,22,Aves,Accipitriformes,Accipitridae,Rupornis,Rupornis magnirostris,Roadside Hawk,LC,2002,April,12
23,23,Aves,Accipitriformes,Accipitridae,Rupornis,Rupornis magnirostris,Roadside Hawk,LC,2004,September,17
24,24,Aves,Accipitriformes,Accipitridae,Rupornis,Rupornis magnirostris,Roadside Hawk,LC,2004,September,17
25,25,Aves,Accipitriformes,Accipitridae,Rupornis,Rupornis magnirostris,Roadside Hawk,LC,2004,September,24
26,26,Aves,Accipitriformes,Accipitridae,Rostrhamus,Rostrhamus sociabilis,Snail Kite,LC,2002,February,14
27,27,Aves,Accipitriformes,Accipitridae,Rostrhamus,Rostrhamus sociabilis,Snail Kite,LC,2002,February,14
28,28,Aves,Accipitriformes,Accipitridae,Rostrhamus,Rostrhamus sociabilis,Snail Kite,LC,2002,February,14
29,29,Aves,Accipitriformes,Accipitridae,Rostrhamus,Rostrhamus sociabilis,Snail Kite,LC,2002,March,7
30,30,Aves,Accipitriformes,Accipitridae,Rostrhamus,Rostrhamus sociabilis,Snail Kite,LC,2002,April,2
31,31,Aves,Accipitriformes,Accipitridae,Rostrhamus,Rostrhamus sociabilis,Snail Kite,LC,2002,December,12
32,32,Aves,Caprimulgiformes,Caprimulgidae,Hydropsalis,Hydropsalis torquata,Scissor-tailed Nightjar,LC,2002,January,30
33,33,Aves,Caprimulgiformes,Caprimulgidae,Hydropsalis,Hydropsalis torquata,Scissor-tailed Nightjar,LC,2002,February,27
34,34,Aves,Caprimulgiformes,Caprimulgidae,Hydropsalis,Hydropsalis torquata,Scissor-tailed Nightjar,LC,2002,February,27
35,35,Aves,Caprimulgiformes,Caprimulgidae,Hydropsalis,Hydropsalis torquata,Scissor-tailed Nightjar,LC,2002,March,26
36,36,Aves,Charadriiformes,Charadriidae,Vanellus,Vanellus chilensis,Southern Lapwing,LC,2002,January,30
37,37,Aves,Charadriiformes,Charadriidae,Vanellus,Vanellus chilensis,Southern Lapwing,LC,2005,May,13
38,38,Aves,Charadriiformes,Jacanidae,Jacana,Jacana jacana,Wattled Jacana,LC,2002,March,16
39,39,Aves,Charadriiformes,Jacanidae,Jacana,Jacana jacana,Wattled Jacana,LC,2002,June,13
40,40,Aves,Charadriiformes,Jacanidae,Jacana,Jacana jacana,Wattled Jacana,LC,2002,October,14
41,41,Aves,Charadriiformes,Jacanidae,Jacana,Jacana jacana,Wattled Jacana,LC,2002,October,14
42,42,Aves,Charadriiformes,Jacanidae,Jacana,Jacana jacana,Wattled Jacana,LC,2005,July,22
43,43,Aves,Columbiformes,Columbidae,Columbina,Columbina picui,Picui Dove,LC,2002,March,16
44,44,Aves,Columbiformes,Columbidae,Columbina,Columbina talpacoti,Ruddy Ground-dove,LC,2002,March,15
45,45,Aves,Columbiformes,Columbidae,Columbina,Columbina talpacoti,Ruddy Ground-dove,LC,2002,March,15
46,46,Aves,Cuculiformes,Cuculidae,Coccyzus,Coccyzus melacoryphus,Dark-billed Cuckoo,LC,2002,January,22
47,47,Aves,Cuculiformes,Cuculidae,Coccyzus,Coccyzus melacoryphus,Dark-billed Cuckoo,LC,2002,March,21
48,48,Aves,Cuculiformes,Cuculidae,Guira,Guira guira,Guira Cuckoo,LC,2002,January,9
49,49,Aves,Cuculiformes,Cuculidae,Guira,Guira guira,Guira Cuckoo,LC,2002,January,9
50,50,Aves,Cuculiformes,Cuculidae,Guira,Guira guira,Guira Cuckoo,LC,2002,January,9
51,51,Aves,Cuculiformes,Cuculidae,Guira,Guira guira,Guira Cuckoo,LC,2002,January,9
52,52,Aves,Cuculiformes,Cuculidae,Guira,Guira guira,Guira Cuckoo,LC,2002,January,21
53,53,Aves,Cuculiformes,Cuculidae,Guira,Guira guira,Guira Cuckoo,LC,2002,January,22
54,54,Aves,Cuculiformes,Cuculidae,Guira,Guira guira,Guira Cuckoo,LC,2002,January,22
55,55,Aves,Cuculiformes,Cuculidae,Guira,Guira guira,Guira Cuckoo,LC,2002,January,22
56,56,Aves,Cuculiformes,Cuculidae,Guira,Guira guira,Guira Cuckoo,LC,2002,January,30
57,57,Aves,Cuculiformes,Cuculidae,Guira,Guira guira,Guira Cuckoo,LC,2002,January,30
58,58,Aves,Cuculiformes,Cuculidae,Guira,Guira guira,Guira Cuckoo,LC,2002,February,14
59,59,Aves,Cuculiformes,Cuculidae,Guira,Guira guira,Guira Cuckoo,LC,2002,February,27
60,60,Aves,Cuculiformes,Cuculidae,Guira,Guira guira,Guira Cuckoo,LC,2002,February,27
61,61,Aves,Cuculiformes,Cuculidae,Guira,Guira guira,Guira Cuckoo,LC,2002,February,27
62,62,Aves,Cuculiformes,Cuculidae,Guira,Guira guira,Guira Cuckoo,LC,2002,March,7
63,63,Aves,Cuculiformes,Cuculidae,Guira,Guira guira,Guira Cuckoo,LC,2002,March,7
64,64,Aves,Cuculiformes,Cuculidae,Guira,Guira guira,Guira Cuckoo,LC,2002,March,15
65,65,Aves,Cuculiformes,Cuculidae,Guira,Guira guira,Guira Cuckoo,LC,2002,March,15
66,66,Aves,Cuculiformes,Cuculidae,Guira,Guira guira,Guira Cuckoo,LC,2002,March,16
67,67,Aves,Cuculiformes,Cuculidae,Guira,Guira guira,Guira Cuckoo,LC,2002,March,16
68,68,Aves,Cuculiformes,Cuculidae,Guira,Guira guira,Guira Cuckoo,LC,2002,April,2
69,69,Aves,Cuculiformes,Cuculidae,Guira,Guira guira,Guira Cuckoo,LC,2002,April,12
70,70,Aves,Cuculiformes,Cuculidae,Guira,Guira guira,Guira Cuckoo,LC,2002,May,3
71,71,Aves,Cuculiformes,Cuculidae,Guira,Guira guira,Guira Cuckoo,LC,2002,May,3
72,72,Aves,Cuculiformes,Cuculidae,Guira,Guira guira,Guira Cuckoo,LC,2002,May,3
73,73,Aves,Cuculiformes,Cuculidae,Guira,Guira guira,Guira Cuckoo,LC,2002,May,3
74,74,Aves,Cuculiformes,Cuculidae,Guira,Guira guira,Guira Cuckoo,LC,2002,May,6
75,75,Aves,Cuculiformes,Cuculidae,Guira,Guira guira,Guira Cuckoo,LC,2002,May,17
76,76,Aves,Cuculiformes,Cuculidae,Guira,Guira guira,Guira Cuckoo,LC,2002,May,28
77,77,Aves,Cuculiformes,Cuculidae,Guira,Guira guira,Guira Cuckoo,LC,2002,August,2
78,78,Aves,Cuculiformes,Cuculidae,Guira,Guira guira,Guira Cuckoo,LC,2002,August,14
79,79,Aves,Cuculiformes,Cuculidae,Guira,Guira guira,Guira Cuckoo,LC,2002,November,11
80,80,Aves,Cuculiformes,Cuculidae,Guira,Guira guira,Guira Cuckoo,LC,2003,January,22
81,81,Aves,Cuculiformes,Cuculidae,Guira,Guira guira,Guira Cuckoo,LC,2004,October,15
